iter	Passed	Remaining
729	14958	5532
730	14984	5514
731	15006	5494
732	15034	5476
733	15050	5454
734	15067	5432
735	15083	5410
736	15099	5388
737	15116	5366
738	15133	5344
739	15150	5323
740	15168	5301
741	15186	5280
742	15205	5259
743	15224	5238
744	15245	5218
745	15263	5196
746	15281	5175
747	15298	5154
748	15316	5132
749	15334	5111
750	15353	5090
751	15370	5069
752	15387	5047
753	15404	5025
754	15421	5004
755	15444	4984
756	15471	4966
757	15491	4945
758	15509	4924
759	15529	4904
760	15547	4882
761	15566	4861
762	15585	4841
763	15602	4819
764	15618	4797
765	15641	4778
766	15658	4756
767	15679	4736
768	15697	4715
769	15715	4694
770	15740	4675
771	15759	4654
772	15778	4633
773	15795	4612
774	15813	4591
775	15831	4569
776	15848	4548
777	15862	4526
778	15879	4504
779	15896	4483
780	15917	4463
781	15933	4441
782	15952	4420
783	15969	4399
784	15986	4378
785	16007	4358
786	16025	4337
787	16048	4317
788	16068	4297
789	16088	4276
790	16113	4257
791	16137	4238
792	16163	4219
793	16180	4197
794	16199	4177
795	16218	4156
796	16239	4136
797	16255	4114
798	16273	4093
799	16291	4072
800	16308	4051
801	16329	4031
802	16347	4010
803	16365	3989
804	16384	3968
805	16402	3948
806	16422	3927
807	16441	3906
808	16459	3886
809	16480	3865
810	16499	3845
811	16514	3823
812	16531	3802
813	16551	3781
814	16568	3761
815	16583	3739
816	16597	3717
817	16620	3698
818	16636	3676
819	16656	3656
820	16673	3635
821	16691	3614
822	16709	3593
823	16737	3574
824	16755	3554
825	16780	3534
826	16799	3514
827	16836	3497
828	16857	3477
829	16880	3457
830	16900	3437
831	16919	3416
832	16940	3396
833	16958	3375
834	16981	3355
835	16997	3334
836	17016	3313
837	17033	3292
838	17048	3271
839	17065	3250
840	17082	3229
841	17097	3208
842	17114	3187
843	17132	3166
844	17148	3145
845	17165	3124
846	17182	3103
847	17202	3083
848	17226	3063
849	17257	3045
850	17283	3026
851	17318	3008
852	17339	2988
853	17357	2967
854	17375	2946
855	17391	2925
856	17408	2904
857	17424	2883
858	17440	2862
859	17457	2841
860	17473	2820
861	17490	2800
862	17505	2779
863	17522	2758
864	17539	2737
865	17556	2716
866	17572	2695
867	17588	2674
868	17606	2654
869	17622	2633
870	17639	2612
871	17655	2591
872	17671	2570
873	17688	2550
874	17707	2529
875	17727	2509
876	17747	2489
877	17765	2468
878	17782	2447
879	17801	2427
880	17819	2406
881	17836	2386
882	17852	2365
883	17869	2344
884	17887	2324
885	17904	2303
886	17919	2282
887	17936	2262
888	17956	2241
889	17971	2221
890	17987	2200
891	18002	2179
892	18018	2158
893	18035	2138
894	18052	2117
895	18068	2097
896	18084	2076
897	18100	2055
